cleaned_tweet,product,reply,Polarity,Sentiment
month hard work dbatools finally ton improvement breaking change powershell sqlserver,PowerShell,,-0.14583333333333334,Negative
persistencesniper powershell module used blue team incident responder system administrator hunt persistence implanted window machine cybersecurity infosec,PowerShell,,0.0,Neutral
microsoft exchange powershell remoting deserialization leading rce,PowerShell,,0.0,Neutral
let begin infosec infosecurity cybersecurity threatintel threatintelligence hacking cybernews cyberattack cloudsecurity malware ransomware cyber threathunting zerotrust cisa,PowerShell,,0.0,Neutral
let begin infosec infosecurity cybersecurity threatintel threatintelligence hacking cybernews cyberattack cloudsecurity malware ransomware cyber threathunting zerotrust cisa,PowerShell,,0.0,Neutral
create strong password powershell,PowerShell,,0.4333333333333333,Positive
tgif new blog post team member microsoft exchange powershell remoting deserialization leading rce thanks team member reviewing well,PowerShell,,0.16818181818181818,Positive
tgif new blog post team member microsoft exchange powershell remoting deserialization leading rce thanks team member reviewing well,PowerShell,,0.16818181818181818,Positive
tgif new blog post team member microsoft exchange powershell remoting deserialization leading rce thanks team member reviewing well,PowerShell,,0.16818181818181818,Positive
microsoft exchange powershell remoting deserialization leading rce,PowerShell,,0.0,Neutral
let begin infosec infosecurity cybersecurity threatintel threatintelligence hacking cybernews cyberattack cloudsecurity malware ransomware cyber threathunting zerotrust cisa,PowerShell,,0.0,Neutral
hiring automation analyst sox powershell security policy asap london month outside good barkings,PowerShell,,0.35,Positive
let get started join today scriptrunner ask anything session around powershell many awesome,PowerShell,,0.75,Positive
microsoft issue powershell script multiple window window security flaw,PowerShell,,0.0,Neutral
improvement generate config report considering newly added configuration github glsl java python objectivec javascript gdscript kotlin shell objectivec powershell applescript aidl cmake python shell dockerfile,PowerShell,,0.13636363636363635,Positive
allow full youtube video url instead videoids github glsl java python objectivec javascript gdscript kotlin shell objectivec powershell applescript aidl cmake python shell dockerfile makefile,PowerShell,,0.35,Positive
referencing builtin matrix within light function spatial shader throw error fall back github glsl java python objectivec javascript gdscript kotlin shell objectivec powershell applescript aidl cmake,PowerShell,,0.2,Positive
run powershell script azure automation hybrid worker onpremises using azure arc new video powershell hybridcloud azurearc azure,PowerShell,,0.13636363636363635,Positive
make warp window window developer experience bad stupid dospowershell command remember plus automatic theme switch based system color scheme,PowerShell,,-0.7499999999999999,Negative
microsoft exchange powershell remoting deserialization leading rce,PowerShell,,0.0,Neutral
vmug dont miss technical architect chris hildebrants session torontovmug usercon learn secret visual studio code amp discover wont want miss valuable insight optimizing powershell workflow rsvp,PowerShell,,-0.13333333333333333,Negative
