cleaned_tweet,product,reply,Polarity,Sentiment
open design implemented sharepoint use flat hierarchy managing permission highest possible level read access use sharing link avoid sharing document email collaborating document together place,SharePoint,,-0.008333333333333333,Negative
look like sharepoint implement open design system flat hierarchy high level permission providing read access site sharing link rather using email working document one place helpful,SharePoint,,0.045000000000000005,Positive
masterclass learn use sharepoint document management system document management documentmanagement manchester blackbirdcorporate sharepoint sharepointtraining training course trainingcourse masterclass,SharePoint,,0.0,Neutral
little reminder say application new phu woman network cochair closing friday may application form found workforce woman network document email edinhsuk find,SharePoint,,-0.025568181818181823,Negative
service sharepoint built cumulative evolution story,SharePoint,,0.0,Neutral
learn latest support update sharepoint workflow,SharePoint,,0.5,Positive
interested microsoftlists content security compliance yes set reminder reading ear eye tuesday may announcementsupdates comingsoon blog,SharePoint,,0.25,Positive
interested microsoftlists content security compliance yes set reminder reading ear eye tuesday may announcementsupdates comingsoon blog,SharePoint,,0.25,Positive
nice sharepoint setup would awesome ive seen firm try need someone passionate manage thanks article,SharePoint,,0.31,Positive
infosec tip tec europe copilot viva sharepoint add ad plus new intune team feature practical podcast sharepoint microsoftteams microsoftviva msftviva,SharePoint,,0.13636363636363635,Positive
developed year plan improve comprehensive service healthcare plan available,SharePoint,,0.25,Positive
infosec tip tec europe copilot viva sharepoint add ad plus new intune team feature practical podcast,SharePoint,,0.13636363636363635,Positive
sharepoint amp intranet support officer amecron nigeria limited,SharePoint,,-0.07142857142857142,Negative
set onedrive citrix virtual apps microsoft doc requires vda shellbridge enabled,SharePoint,,0.0,Neutral
come migrating box sharepoint online onestop solution way trust handle process efficiently effectively box sharepointonline migration business,SharePoint,,0.6,Positive
currently preparing ceremony le hour class undergrad sure check parking bag important info coming gillette,SharePoint,,0.3,Positive
another share option sharepoint link allowing access thanks,SharePoint,,0.2,Positive
dynamic sharepoint integration sale user make easy store access digital asset use sell maintain customer,SharePoint,,0.14444444444444446,Positive
include jquery sharepoint,SharePoint,,0.0,Neutral
developed year plan improve comprehensive service healthcare plan available,SharePoint,,0.25,Positive
developed year plan improve comprehensive service healthcare plan available,SharePoint,seems fairly straightforward thats exactly right novelty doingaround country municipal government generally fail demonstrate commitment higher standard living person living disability make specific effort,0.25,Positive
link,SharePoint,,0.0,Neutral
looking forward mark keep posted please,SharePoint,,0.0,Neutral
interested microsoftlists content security compliance yes set reminder reading ear eye tuesday may announcementsupdates comingsoon blog,SharePoint,,0.25,Positive
watch john amir answer earnings question,SharePoint,,0.0,Neutral
interested microsoftlists content security compliance yes set reminder reading ear eye tuesday may announcementsupdates comingsoon blog,SharePoint,,0.25,Positive
interested microsoftlists content security compliance yes set reminder reading ear eye tuesday may announcementsupdates comingsoon blog,SharePoint,looking forward mark keep posted please,0.25,Positive
set onedrive citrix virtual apps microsoft doc requires vda shellbridge enabled,SharePoint,,0.0,Neutral
update workforce demographic,SharePoint,,0.0,Neutral
infosec tip tec europe copilot viva sharepoint add ad plus new intune team feature practical podcast,SharePoint,,0.13636363636363635,Positive
new video tab appear microsoft search bing office sharepoint amp stream making finding video across stream onedrive amp sharepoint easier due late april bing read else april,SharePoint,,-0.09621212121212121,Negative
attention ready join mentalhealthweek staff wellbeing sharepoint find way incorporate wellness every day week stay tuned update,SharePoint,,0.2,Positive
join microsoft syntex team document strategy forum may méridien charlotte learn create manage content communication strategy support customer experience,SharePoint,,0.0,Neutral
navigating sharepoint feel like feeling around box dark big thick glove,SharePoint,,-0.15000000000000002,Negative
set onedrive citrix virtual apps microsoft doc requires vda shellbridge enabled,SharePoint,,0.0,Neutral
basic add text table image sharepoint page text web part,SharePoint,,0.0,Neutral
